Geneid	12-FC
ENSRNOG00000051780	1
ENSRNOG00000056441	0
ENSRNOG00000016337	0
ENSRNOG00000016625	37
ENSRNOG00000053944	0
ENSRNOG00000022946	48
ENSRNOG00000017223	13
ENSRNOG00000017412	1
ENSRNOG00000017419	911
ENSRNOG00000059864	0
ENSRNOG00000055981	0
ENSRNOG00000017731	882
ENSRNOG00000054620	64
ENSRNOG00000055141	1
ENSRNOG00000055547	90
ENSRNOG00000048297	120
ENSRNOG00000060475	52
ENSRNOG00000017367	0
ENSRNOG00000049044	0
ENSRNOG00000011243	1
ENSRNOG00000011310	897
ENSRNOG00000012229	1
ENSRNOG00000024172	2
ENSRNOG00000024149	134
ENSRNOG00000024140	574
ENSRNOG00000012415	1469
ENSRNOG00000012964	1
ENSRNOG00000055093	272
ENSRNOG00000013190	501
ENSRNOG00000057484	4
ENSRNOG00000052521	0
ENSRNOG00000013194	2061
ENSRNOG00000060227	0
ENSRNOG00000039255	18
ENSRNOG00000013374	0
ENSRNOG00000033901	3
ENSRNOG00000047027	0
ENSRNOG00000053284	0
ENSRNOG00000023753	1417
ENSRNOG00000051938	39
ENSRNOG00000058564	7
ENSRNOG00000056439	0
ENSRNOG00000054756	2
ENSRNOG00000052956	0
ENSRNOG00000059551	0
ENSRNOG00000051553	0
ENSRNOG00000059913	0
ENSRNOG00000055136	0
ENSRNOG00000053004	0
ENSRNOG00000061719	0
ENSRNOG00000060438	56
ENSRNOG00000055577	0
ENSRNOG00000046250	1
ENSRNOG00000052093	0
ENSRNOG00000054056	0
ENSRNOG00000030145	1
ENSRNOG00000055830	0
ENSRNOG00000052700	0
ENSRNOG00000059261	0
ENSRNOG00000057320	0
ENSRNOG00000054834	0
ENSRNOG00000013671	0
ENSRNOG00000022921	1245
ENSRNOG00000014166	18
ENSRNOG00000061057	0
ENSRNOG00000010529	375
ENSRNOG00000058989	4
ENSRNOG00000061383	0
ENSRNOG00000015609	259
ENSRNOG00000059948	1
ENSRNOG00000055517	0
ENSRNOG00000053938	1
ENSRNOG00000058803	2
ENSRNOG00000060933	3
ENSRNOG00000051787	2
ENSRNOG00000015597	414
ENSRNOG00000061312	488
ENSRNOG00000015293	10
ENSRNOG00000015230	513
ENSRNOG00000059984	145
ENSRNOG00000058790	1496
ENSRNOG00000001488	1400
ENSRNOG00000001489	282
ENSRNOG00000001490	254
ENSRNOG00000021493	16
ENSRNOG00000056729	7
ENSRNOG00000014434	689
ENSRNOG00000048190	364
ENSRNOG00000052286	0
ENSRNOG00000061593	0
ENSRNOG00000056478	0
ENSRNOG00000057242	0
ENSRNOG00000012692	205
ENSRNOG00000012988	2550
ENSRNOG00000047387	0
ENSRNOG00000035654	7
ENSRNOG00000035453	3
ENSRNOG00000035572	0
ENSRNOG00000039076	552
ENSRNOG00000010994	102
ENSRNOG00000011174	9
ENSRNOG00000060169	1
ENSRNOG00000042605	4
ENSRNOG00000045732	0
ENSRNOG00000052154	0
ENSRNOG00000061043	0
ENSRNOG00000011234	26
ENSRNOG00000051757	0
ENSRNOG00000054409	0
ENSRNOG00000052260	0
ENSRNOG00000060271	0
ENSRNOG00000055538	0
ENSRNOG00000056833	0
ENSRNOG00000047498	0
ENSRNOG00000011282	6580
ENSRNOG00000050623	1
ENSRNOG00000060596	2
ENSRNOG00000059492	228
ENSRNOG00000032996	1
ENSRNOG00000028807	0
ENSRNOG00000060716	0
ENSRNOG00000052406	119
ENSRNOG00000051578	43
